RA,DEC,dis_mod,dis_mod_err,Distance_old,Distance,Dis_error,,Distance_disk,Name,RAJ2000,DEJ2000,VMAG,logAge,e_logAge,logM,Metal,Ref,OName,SimbadName,RJacobi,V,e_V,V_ref,Notes,ra_pm,e_ra_pm,d_pm,e_d_pm,Source,Paper_source,Other Sources
56.137083,-71.670278,18.67,0.08,47.86,54.2000890401624,2.03404347887253,Wagner-Kaiser 2017,55.696120,NGC1466,03 44 32.9,-71 40 13,-7.59,10.1,0.01,5.31,-1.7,4,             ,NGC1466,0.04,200.0,5.0,Schommer 1992,,1.6770405911353900,0.033929190935895100,-0.6791057040604560,0.024090666392431200,PB,M2,
69.412500,-66.199444,18.50,0.09,50.12,50.12,2.12089553718473,Rosenfield 2017,50.7474874,NGC1644,04 37 39.0,-66 11 58,-5.61,9.19,0.05,4.32,-0.3,4,             ,NGC1644,0.02,246.0,5.0,Schommer 1992,,1.708,0.123,-0.304,0.131,MA,M1,
69.379583,-70.583889,18.41,0.03,48.08,48.0839348449729,0.668914165365699,Goudfrooij 2014,52.3558677,NGC1651,04 37 31.1,-70 35 02,-7.16,9.3,0.09,5.24,,4,             ,NGC1651,0.03,228.2,2.3,Grocholski 2006,,1.941,0.178,-0.325,0.158,MA,M1,
69.591667,-68.672500,18.48,0.05,49.66,49.6592321450336,1.15671211102252,Milone 2009,51.5657557,NGC1652,04 38 22.0,-68 40 21,-5.37,9.23,0.05,4.29,-0.45,4,             ,NGC1652,0.02,275.7,1.3,Grocholski 2006,,1.783,0.325,-0.667,0.339,MA,M1,
73.57533333,-70.44238333,18.50,0.05,50.12,50.12,1.16741503640923,Olsen 1999,51.5466826,NGC1754,,,-6.99,10.1,,,-1.3,,,NGC1754,0.02,234.1,5.4,Sharma 2010,,1.947,0.048,-0.177,0.063,PI,P19,
74.783333,-65.988333,18.46,0.04,49.20,49.2039535681451,0.914769794582142,Goudfrooij 2011,49.6059789,NGC1783,04 59 08.0,-65 59 18,-8.11,9.18,0.05,5.26,,4,             ,NGC1783,0.03,291.6,9.9,Martocchia 2021,"Preprint with limited stars for Val, check for published version",1.626,0.043,-0.019,0.050,MA,M1,
74.781125,-67.74595556,18.44,0.05,48.75,48.7528490103386,1.13559973566267,Walker 1988,50.2431507,NGC1786,,,-8.4,10.1,,,-2.3,,,NGC1786,0.02,279.9,4.9,Sharma 2010,,1.953,0.098,0.054,0.159,MA,M1,
75.545833,-67.988056,18.46,0.04,49.20,49.2039535681451,0.914769794582142,Goudfrooij 2011,50.2045737,NGC1806,05 02 11.0,-67 59 17,-7.50,9.18,0.05,5.01,,4,             ,NGC1806,0.025,225.0,5.0,Schommer 1992,,1.857,0.064,-0.043,0.067,MA,M1,
76.057500,-66.433889,18.54,0.02,51.05,51.0504999975406,0.47236446063497,Li 2013,49.5353480,NGC1818,05 04 13.8,-66 26 02,-9.61,7.4,0.20,4.13,,4,             ,NGC1818,0.04,311.1,3.9,Marino 2018,,1.5263713357160000,0.03248647699879600,0.12559189573116800,0.048315030887349800,PB,M2,
76.572500,-64.919722,18.40,0.2,47.86,47.86,4.61773679271343,LI 2014,48.9223244,NGC1831,05 06 17.4,-64 55 11,-8.41,8.5,0.30,4.81,,4,             ,NGC1831,0.06,280.0,5.0,Schommer 1992,,1.681,0.045,-0.001,0.061,MA,M1,
76.288375,-69.40582222,18.50,0.2,50.12,50.12,4.83536402303523,Olsen 1999,50.6588054,NGC1835,,,-8.35,10.1,,,-1.79,,,NGC1835,0.025,188.0,5.0,Sharma 2010,,1.994,0.013,-0.005,0.024,PI,P19,
